iter	RMSE
0	75.25604131
1	72.84749672
2	70.55315117
3	68.31670873
4	66.20817184
5	64.19757975
6	62.26858494
7	60.42119717
8	58.65288074
9	56.95662338
10	55.34610153
11	53.82870454
12	52.36030467
13	50.96212228
14	49.64253778
15	48.35250627
16	47.13580993
17	45.96636995
18	44.86179365
19	43.80907566
20	42.8054889
21	41.85517921
22	40.93937031
23	40.07711499
24	39.25418427
25	38.48369821
26	37.74201782
27	37.03586053
28	36.36744778
29	35.72900143
30	35.12498317
31	34.54501508
32	34.00652522
33	33.48629111
34	32.99419764
35	32.53775927
36	32.1053515
37	31.68513992
38	31.28088026
39	30.90958097
40	30.55371223
41	30.20647789
42	29.88641606
43	29.5783108
44	29.28980247
45	29.00224041
46	28.74132958
47	28.50183559
48	28.25945771
49	28.03966089
50	27.81916156
51	27.61470429
52	27.42055157
53	27.22635671
54	27.03846223
55	26.87509608
56	26.70528647
57	26.55861735
58	26.40629078
59	26.26477108
60	26.12896039
61	25.99638229
62	25.86571955
63	25.74352749
64	25.63009402
65	25.5210908
66	25.41466222
67	25.31738219
68	25.21174186
69	25.11179975
70	25.02565734
71	24.93628843
72	24.85185903
73	24.76915205
74	24.69106017
75	24.61446418
76	24.54373358
77	24.47435025
78	24.40733372
79	24.34020549
80	24.27549841
81	24.21393499
82	24.1513639
83	24.09510545
84	24.03933524
85	23.9883507
86	23.93804943
87	23.88611637
88	23.83653214
89	23.78596645
90	23.74102746
91	23.69470273
92	23.65053287
93	23.60735518
94	23.56712207
95	23.52799043
96	23.49187242
97	23.45083618
98	23.41461485
99	23.37364196
100	23.33547028
101	23.30578433
102	23.26290639
103	23.22817011
104	23.19229015
105	23.15577832
106	23.12494194
107	23.09718831
108	23.06885776
109	23.03654767
110	23.00133643
111	22.97068666
112	22.94026264
113	22.90461597
114	22.87381229
115	22.84992827
116	22.82650407
117	22.80236453
118	22.7715698
119	22.74416326
120	22.71641267
121	22.69135862
122	22.66792065
123	22.64557848
124	22.61964456
125	22.59685755
126	22.56991165
127	22.54681674
128	22.52263427
129	22.50071127
130	22.47570306
131	22.44802221
132	22.42945059
133	22.40303935
134	22.38031487
135	22.35875593
136	22.33205813
137	22.30475893
138	22.28330764
139	22.26081873
140	22.23928316
141	22.21808555
142	22.19286301
143	22.17328824
144	22.1505827
145	22.13330825
146	22.11460877
147	22.09495044
148	22.07944661
149	22.06495687
150	22.0456501
151	22.03088749
152	22.01262433
153	21.99457239
154	21.9765566
155	21.95911841
156	21.93677531
157	21.91838135
158	21.9035343
159	21.88620277
160	21.86933134
161	21.84923652
162	21.8291944
163	21.81684506
164	21.79995242
165	21.7858775
166	21.76829761
167	21.7533419
168	21.73243589
169	21.71932015
170	21.70309695
171	21.68258201
172	21.66767163
173	21.6520129
174	21.64009849
175	21.62329511
176	21.60867334
177	21.59323209
178	21.57757146
179	21.56355153
180	21.54971258
181	21.53214599
182	21.51755524
183	21.50284463
184	21.48808116
185	21.4678336
186	21.45120528
187	21.43564386
188	21.42104846
189	21.4052871
190	21.3910837
191	21.37961576
192	21.36553851
193	21.35451031
194	21.33386276
195	21.32081382
196	21.30690419
197	21.29172442
198	21.27998937
199	21.26647592
200	21.25702465
201	21.24636049
202	21.23691421
203	21.22670591
204	21.21309815
205	21.19998683
206	21.18585443
207	21.17090674
208	21.16169152
209	21.15273807
210	21.13975266
211	21.12861902
212	21.11866684
213	21.10594775
214	21.08976887
215	21.07561395
216	21.06331296
217	21.04824106
218	21.03579184
219	21.0268256
220	21.0157206
221	21.00368014
222	20.99297285
223	20.98150547
224	20.96842083
225	20.95978769
226	20.94659315
227	20.93428485
228	20.92267653
229	20.91139718
230	20.90253617
231	20.89193037
232	20.88054949
233	20.8692963
234	20.86127212
235	20.85095573
236	20.84282056
237	20.829964
238	20.82012911
239	20.81134606
240	20.80212397
241	20.79215267
242	20.78032827
243	20.77013217
244	20.76046668
245	20.74867685
246	20.73970541
247	20.72600276
248	20.7138016
249	20.70160724
250	20.69007896
251	20.68005431
252	20.66971309
253	20.66025662
254	20.65168817
255	20.64338285
256	20.6343021
257	20.62746728
258	20.61947066
259	20.60873488
260	20.59699887
261	20.58778258
262	20.58042098
263	20.57051265
264	20.55540062
265	20.54838727
266	20.53968577
267	20.53489226
268	20.52445266
269	20.51144336
270	20.50258958
271	20.49197277
272	20.47906459
273	20.47088347
274	20.46483008
275	20.4587452
276	20.44952388
277	20.43522802
278	20.42846917
279	20.42004267
280	20.40783656
281	20.39706567
282	20.3865206
283	20.37980857
284	20.36998772
285	20.36317927
286	20.35582892
287	20.34453834
288	20.33444136
289	20.32622261
290	20.31867047
291	20.30657774
292	20.29601678
293	20.28574608
294	20.27542761
295	20.26748504
296	20.25772325
297	20.2486494
298	20.24089943
299	20.23104195
300	20.22626102
301	20.21722527
302	20.20958307
303	20.201711
304	20.1889651
305	20.17915782
306	20.1736341
307	20.16748043
308	20.15615086
309	20.15032965
310	20.14280191
311	20.13515054
312	20.12815073
313	20.12064091
314	20.11427928
315	20.10515084
316	20.09462257
317	20.0854698
318	20.08094284
319	20.0745493
320	20.06159054
321	20.05225163
322	20.03893231
323	20.03208498
324	20.02455844
325	20.01703322
326	20.0078917
327	20.00318631
328	19.9938293
329	19.98880821
330	19.98119067
331	19.97613706
332	19.96330348
333	19.96054836
334	19.95110667
335	19.94080664
336	19.92915162
337	19.91825958
338	19.91123669
339	19.90245746
340	19.89579882
341	19.88745502
342	19.87980386
343	19.87335844
344	19.86594797
345	19.85877769
346	19.85253894
347	19.8459073
348	19.83929584
349	19.83378135
350	19.82409153
351	19.8177185
352	19.80888883
353	19.80009448
354	19.79540719
355	19.78884531
356	19.7808108
357	19.77184378
358	19.76472135
359	19.75834828
360	19.75054693
361	19.74419198
362	19.73574608
363	19.7270163
364	19.72131712
365	19.71531564
366	19.70826544
367	19.70418406
368	19.69587999
369	19.68894504
370	19.68205412
371	19.67340128
372	19.66654844
373	19.65954878
374	19.65374207
375	19.64578576
376	19.64058775
377	19.63520674
378	19.62862655
379	19.62274685
380	19.61914159
381	19.61281557
382	19.60671622
383	19.60148298
384	19.59072796
385	19.58366418
386	19.57559546
387	19.56929477
388	19.56405881
389	19.55514105
390	19.55078616
391	19.54185215
392	19.53373582
393	19.52831477
394	19.52226987
395	19.51553729
396	19.50641801
397	19.49814274
398	19.49182877
399	19.48348211
400	19.47425707
401	19.46706428
402	19.46161887
403	19.45509871
404	19.44890707
405	19.44368794
406	19.43684297
407	19.4295987
408	19.42306274
409	19.41452339
410	19.4086447
411	19.39982715
412	19.39368333
413	19.38486134
414	19.37926124
415	19.37118461
416	19.36577135
417	19.36023822
418	19.35374646
419	19.34659513
420	19.33709007
421	19.33134771
422	19.32461893
423	19.31871736
424	19.31340282
425	19.30682691
426	19.30177173
427	19.29670272
428	19.29031337
429	19.28429286
430	19.2774092
431	19.27105915
432	19.26435573
433	19.25723295
434	19.25022922
435	19.24152129
436	19.23422578
437	19.22890135
438	19.22547832
439	19.22115492
440	19.2148776
441	19.2107662
442	19.20779798
443	19.20149339
444	19.19518333
445	19.18871828
446	19.18290688
447	19.17625784
448	19.16722108
449	19.15961473
450	19.15614603
451	19.15104621
452	19.14565948
453	19.13868914
454	19.13285437
455	19.12589683
456	19.11998987
457	19.11214875
458	19.10703772
459	19.10119426
460	19.09633174
461	19.09229056
462	19.08738327
463	19.08300579
464	19.07761539
465	19.07123035
466	19.06793113
467	19.06157547
468	19.05568978
469	19.05014805
470	19.04524062
471	19.03894669
472	19.03440967
473	19.0263232
474	19.01814887
475	19.0116482
476	19.00747211
477	19.00282203
478	18.99729629
479	18.99296221
480	18.98537856
481	18.9796269
482	18.97525474
483	18.96830808
484	18.96360339
485	18.95665965
486	18.94956213
487	18.94259483
488	18.93695038
489	18.93318505
490	18.927814
491	18.92052252
492	18.91657473
493	18.90834853
494	18.89923063
495	18.89353258
496	18.88842602
497	18.8833223
498	18.87896536
499	18.87335102
500	18.86857925
501	18.86281446
502	18.85730095
503	18.85326527
504	18.84860507
505	18.84453903
506	18.83813355
507	18.83453923
508	18.83109475
509	18.82393462
510	18.82018304
511	18.81685941
512	18.81384752
513	18.80792331
514	18.80136135
515	18.79584386
516	18.79281782
517	18.78799064
518	18.7831587
519	18.7756756
520	18.7699502
521	18.76463709
522	18.75965806
523	18.75366976
524	18.74549235
525	18.74214374
526	18.73783305
527	18.73425826
528	18.72894665
529	18.72519919
530	18.72024316
531	18.71803315
532	18.71283782
533	18.70719026
534	18.70180691
535	18.69524587
536	18.69183477
537	18.68722287
538	18.68198743
539	18.67780691
540	18.67256656
541	18.66712895
542	18.66262549
543	18.65831956
544	18.65425172
545	18.64804196
546	18.64130632
547	18.63554555
548	18.63120054
549	18.62433979
550	18.61978788
551	18.61661179
552	18.61110609
553	18.60620858
554	18.59806539
555	18.59287083
556	18.58792536
557	18.58421874
558	18.57732837
559	18.57093525
560	18.56741352
561	18.56376307
562	18.55812432
563	18.55438152
564	18.55172934
565	18.54896519
566	18.54429269
567	18.54133316
568	18.53604864
569	18.53196056
570	18.52768062
571	18.5228646
572	18.51931632
573	18.51274601
574	18.50990473
575	18.50420342
576	18.50018659
577	18.49674272
578	18.49145082
579	18.48675924
580	18.48397135
581	18.48039055
582	18.47520454
583	18.47128825
584	18.46741136
585	18.46363995
586	18.45805499
587	18.45333501
588	18.44932496
589	18.44540371
590	18.43996441
591	18.43573626
592	18.43009039
593	18.42603651
594	18.42226979
595	18.41727807
596	18.41469494
597	18.4100331
598	18.40342749
599	18.39887799
600	18.39427522
601	18.3889561
602	18.38487511
603	18.38154323
604	18.37557929
605	18.37041197
606	18.36573314
607	18.36189639
608	18.3572741
609	18.35176735
610	18.34859017
611	18.34207439
612	18.33589595
613	18.33288388
614	18.32617763
615	18.32263763
616	18.31882052
617	18.31329428
618	18.30856195
619	18.30351265
620	18.29940905
621	18.29342852
622	18.28940608
623	18.28700236
624	18.28293654
625	18.27912698
626	18.27229678
627	18.26774948
628	18.2635318
629	18.26061791
630	18.25550829
631	18.25252105
632	18.24726907
633	18.24278735
634	18.23950427
635	18.23459942
636	18.22975475
637	18.22514631
638	18.21990447
639	18.21499678
640	18.21133967
641	18.20571252
642	18.20320742
643	18.19904236
644	18.19590952
645	18.19124115
646	18.18745599
647	18.18415041
648	18.17920208
649	18.17440769
650	18.17002343
651	18.16639851
652	18.16275852
653	18.15536648
654	18.15078676
655	18.14672982
656	18.14340851
657	18.14084194
658	18.13818863
659	18.13392971
660	18.13178498
661	18.12750565
662	18.1227478
663	18.12040255
664	18.11299076
665	18.10814788
666	18.1032069
667	18.09918831
668	18.09557161
669	18.0905398
670	18.08791813
671	18.08451045
672	18.08016659
673	18.07737938
674	18.0715211
675	18.06612146
676	18.06364967
677	18.05960707
678	18.05674927
679	18.05311938
680	18.04785382
681	18.04324821
682	18.04021685
683	18.03500729
684	18.03089045
685	18.02641973
686	18.0234729
687	18.01924214
688	18.01591073
689	18.01345203
690	18.00879687
691	18.00607749
692	18.00494749
693	18.00022542
694	17.99656322
695	17.99378625
696	17.98992619
697	17.98606291
698	17.98233374
699	17.97988851
700	17.9759164
701	17.97291279
702	17.96835487
703	17.96541541
704	17.9599731
705	17.95685437
706	17.95396884
707	17.94874746
708	17.9456238
709	17.94358027
710	17.94028311
711	17.93495384
712	17.93008689
713	17.9263832
714	17.9241693
715	17.92208443
716	17.91975041
717	17.91665846
718	17.91359573
719	17.90985302
720	17.90716233
721	17.90351822
722	17.89916511
723	17.89502733
724	17.88982538
725	17.8855451
726	17.8824692
727	17.87750454
728	17.87408065
729	17.87091975
730	17.86407376
731	17.86135782
732	17.85652444
733	17.85304145
734	17.84873729
735	17.84535148
736	17.84031411
737	17.83738793
738	17.83242411
739	17.82839387
740	17.82531061
741	17.82252311
742	17.81986653
743	17.81655714
744	17.81227779
745	17.80757027
746	17.80521095
747	17.80089493
748	17.79612913
749	17.79087709
750	17.78765876
751	17.78315126
752	17.78012003
753	17.77561064
754	17.77113507
755	17.76774689
756	17.76319298
757	17.76011148
758	17.75674349
759	17.75331484
760	17.75050959
761	17.74808609
762	17.74336332
763	17.74007876
764	17.73576228
765	17.7318753
766	17.72870077
767	17.7239835
768	17.71982992
769	17.71608383
770	17.71192453
771	17.70813778
772	17.70195408
773	17.69802391
774	17.69626231
775	17.69322483
776	17.69060617
777	17.68597042
778	17.68377641
779	17.68158057
780	17.67877263
